Generation;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo
12700;0,6936;0,601076;0,028367;0,993556;0,010406;0,6356;0,618377;0,0439498;0,99054;0,00892306;0,6548;0,662469;0,0359091;0,99312;0,0083211
12800;0,7032;0,609457;0,0290513;0,990229;0,00868423;0,656;0,626672;0,0431775;0,987399;0,0112117;0,6922;0,684473;0,0427982;0,994798;0,00767805
12900;0,6643;0,61346;0,0252704;0,991302;0,00857856;0,6847;0,647978;0,0208708;0,988603;0,0133941;0,7044;0,648203;0,0437829;0,994651;0,00766609
13000;0,6969;0,608993;0,023789;0,99173;0,00925789;0,6663;0,645956;0,0154568;0,990692;0,00767702;0,6808;0,639255;0,033866;0,99295;0,00839587
13100;0,6877;0,620392;0,0327487;0,993905;0,0100624;0,6845;0,640512;0,0177318;0,992992;0,0063187;0,6925;0,626501;0,0197337;0,992337;0,00884741
13200;0,692;0,623573;0,0372184;0,99358;0,0103249;0,6919;0,640745;0,0238159;0,992719;0,00738052;0,7051;0,619471;0,0178264;0,992388;0,00813279
13300;0,651;0,626221;0,0344444;0,991498;0,0109475;0,6696;0,626337;0,0198427;0,993564;0,00743333;0,6431;0,612254;0,0136121;0,994271;0,0060581
13400;0,6524;0,615784;0,030081;0,992354;0,0111602;0,6634;0,624726;0,0189546;0,992678;0,0106635;0,6459;0,617992;0,0164108;0,99143;0,00908812
13500;0,676;0,594561;0,0306961;0,986799;0,0119101;0,6875;0,624175;0,0193568;0,992408;0,00890569;0,6141;0,615812;0,0131483;0,994192;0,007701
13600;0,7045;0,610205;0,0343992;0,989396;0,014151;0,6625;0,620519;0,022799;0,993935;0,0066716;0,68;0,616393;0,0175211;0,995849;0,00617602
13700;0,6962;0,607023;0,0261705;0,993977;0,00634351;0,7193;0,61255;0,0235731;0,99372;0,00653613;0,7196;0,617707;0,0215162;0,995212;0,00782228
13800;0,6927;0,605739;0,0157509;0,99538;0,00671976;0,6757;0,611119;0,0265091;0,995548;0,0060653;0,7194;0,628295;0,0226824;0,995386;0,00716945
13900;0,7186;0,60979;0,015278;0,995214;0,00696666;0,6746;0,62639;0,013307;0,994208;0,00678412;0,6839;0,642758;0,0167464;0,998379;0,00269967
14000;0,7476;0,608918;0,0135297;0,995078;0,00751942;0,6265;0,626721;0,0182674;0,989855;0,00967434;0,6228;0,654292;0,0170079;0,993891;0,00764356
