Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
440000	0.4308	0.752817	0.00740741	0.00809687	0.00756725	0.572178	0.0284618	0.4223	0.772836	0.00394823	0.00404485	0.0057088	0.547549	0.0199109	0.4286	0.73984	0.00612918	0.00623384	0.00896719	0.573046	0.0164144
445000	0.4225	0.768837	0.00463372	0.00560801	0.00558226	0.553842	0.175397	0.4238	0.743703	0.00370113	0.0041846	0.00611116	0.575925	0.0338271	0.4254	0.757559	0.00453412	0.00382837	0.00676153	0.558845	0.0261153
450000	0.4295	0.761964	0.00274035	0.00302783	0.00549476	0.560918	0.225048	0.4347	0.754727	0.00839552	0.0063918	0.00944027	0.568591	0.0144459	0.422	0.756234	0.00783699	0.00628053	0.00864007	0.559544	0.0208978
455000	0.429	0.750264	0.00694123	0.0105831	0.0118881	0.58008	0.245845	0.4328	0.760325	0.00461467	0.00458954	0.0075488	0.561185	0.0415312	0.4265	0.769468	0.00578936	0.00507519	0.00745942	0.548067	0.0172758
460000	0.428	0.776545	0.002	0.00711308	0.0109307	0.563039	0.324499	0.4265	0.774795	0.00508287	0.00350188	0.00588976	0.542643	0.0251743	0.4157	0.758335	0.00875082	0.0102775	0.0107842	0.553835	0.0282345
465000	0.4186	0.778488	0.00982486	0.02925	0.0337796	0.537053	0.287372	0.4105	0.759799	0.00324886	0.00317846	0.0063721	0.54691	0.0138123	0.4269	0.724732	0.00411323	0.00548575	0.00831651	0.592747	0.0803844
470000	0.4211	0.778715	0.011795	0.0331148	0.0426481	0.5412	0.267619	0.4284	0.744425	0.00258216	0.00397439	0.00717414	0.575371	0.0202719	0.4442	0.743818	0.00493218	0.00618844	0.00778424	0.582873	0.0263553
475000	0.4133	0.76903	0.00237069	0.0078221	0.0114478	0.547052	0.245268	0.4382	0.735776	0.00588668	0.00603042	0.0095859	0.592749	0.0336743	0.4402	0.751514	0.0139777	0.0145968	0.0141654	0.576947	0.0241392
480000	0.4369	0.752422	0.00473934	0.0051477	0.00937384	0.578504	0.0275067	0.433	0.751175	0.00375852	0.00425423	0.00725887	0.575026	0.0362861	0.4347	0.756115	0.0115821	0.0118336	0.0103136	0.570426	0.0427674
485000	0.4193	0.749731	0.00181077	0.00370317	0.0070366	0.563914	0.0218306	0.4312	0.749781	0.00560617	0.00574118	0.00819369	0.566602	0.0177229	0.4331	0.767729	0.00996377	0.00890664	0.00859525	0.555365	0.0341854
490000	0.4185	0.774314	0.00796899	0.00631048	0.00745716	0.542358	0.013451	0.4206	0.747529	0.010372	0.00805863	0.00853448	0.558562	0.010248	0.4132	0.757856	0.00697168	0.00901738	0.0100566	0.538929	0.0247601
495000	0.4209	0.773205	0.00414757	0.00381778	0.0083941	0.546363	0.0322306	0.434	0.755735	0.00559571	0.00711629	0.00965314	0.569365	0.0393181	0.4271	0.756941	0.0101879	0.00903502	0.0128002	0.558096	0.034695
500000	0.4271	0.740018	0.014832	0.0140033	0.0159128	0.563613	0.0275528	0.4134	0.768027	0.00259011	0.00331412	0.0046365	0.536693	0.0287535	0.4355	0.755961	0.0100093	0.00813486	0.0113438	0.562665	0.0347965
